question,query
what was the score in the match in which mardy fish was the partner?,SELECT score WHERE partner EQL mardy fish
what was the score of the match in which mardy fish was the partner?,SELECT score WHERE partner EQL mardy fish
Who were the opponents in the match that was played on a hard court and had a runner-up outcome?,SELECT opponents WHERE surface EQL hard AND outcome EQL runner-up
who are opponents of a match played on a hard court?,SELECT opponents WHERE surface EQL hard AND outcome EQL runner-up
who were the opponents in a hard court match that had a runner-up outcome?,SELECT opponents WHERE surface EQL hard AND outcome EQL runner-up
who were the opponents in a match played on hard court and had a runner-up outcome?,SELECT opponents WHERE surface EQL hard AND outcome EQL runner-up
who was the opponent in the match which was played on a hard court and had a runner-up outcome?,SELECT opponents WHERE surface EQL hard AND outcome EQL runner-up
When mithuna is the   international alphabet of sanskrit transliteration what is the ruling planet?,SELECT ruling planet WHERE international alphabet of sanskrit transliteration EQL mithuna
When mithuna is the   international alphabet of sanskrit transliteration what is the ruling planet?,SELECT ruling planet WHERE international alphabet of sanskrit transliteration EQL mithuna
When Sagittarius is the wester name what is the sanskrit gloss?,SELECT sanskrit gloss WHERE western name EQL sagittarius
tell me the sanskrit gloss in sagittarius?,SELECT sanskrit gloss WHERE western name EQL sagittarius
what's the sanskrit gloss?,SELECT sanskrit gloss WHERE western name EQL sagittarius
tell me the sanskrit gloss?,SELECT sanskrit gloss WHERE western name EQL sagittarius
What player has the rank 2011?,SELECT player WHERE rank EQL 2011
What player has the rank 2011?,SELECT player WHERE rank EQL 2011
What was the score of the match played on hard with a person ranked 10?,SELECT score WHERE surface EQL hard AND rank EQL 10
What was the score of the match played on hard with a person ranked 10?,SELECT score WHERE surface EQL hard AND rank EQL 10
Name the wickets when overs bowled is 9,SELECT wickets WHERE overs bowled EQL 9
Name the wickets when overs bowled is 9,SELECT wickets WHERE overs bowled EQL 9
How many runs conceded when the earned runs was 4.96?,SELECT runs conceded WHERE e.r. EQL 4.96
how many runs have been conceded when the earned runs rate was 496?,SELECT runs conceded WHERE e.r. EQL 4.96
how many runs were conceded when the number of runs was 496?,SELECT runs conceded WHERE e.r. EQL 4.96
how many runs were conceded when the earned runs was 496?,SELECT runs conceded WHERE e.r. EQL 4.96
How many runs conceded for chaminda vaas?,SELECT runs conceded WHERE name EQL chaminda vaas
how many runs has chaminda vaas conceded?,SELECT runs conceded WHERE name EQL chaminda vaas
how many runs have been conceded for chaminda vaas?,SELECT runs conceded WHERE name EQL chaminda vaas
What was the score to par in 1960?,SELECT to par WHERE year(s) won EQL 1960
what was the score in par in 1960?,SELECT to par WHERE year(s) won EQL 1960
Where was the place in Australia that had a score of 70?,SELECT place WHERE score EQL 70 AND country EQL australia
Where was the place in Australia that had a score of 70?,SELECT place WHERE score EQL 70 AND country EQL australia
Name the wickets for overs bowled being 15,SELECT wickets WHERE overs bowled EQL 15
Name the wickets for overs bowled being 15,SELECT wickets WHERE overs bowled EQL 15
Name the name for when overs bowled is 31.2,SELECT name WHERE overs bowled EQL 31.2
Name the total with finish of t22,SELECT total WHERE finish EQL t22
Name the total with finish of t22,SELECT total WHERE finish EQL t22
What are the slovenian names of the villages that had 65.9% of slovenes in 1951?,SELECT village (slovenian) WHERE percent of slovenes 1951 EQL 65.9%
What are the slovenian names of the villages that had 16.7% of slovenes in 1991?,SELECT village (slovenian) WHERE percent of slovenes 1991 EQL 16.7%
What stroke has a max power of 109 ps(80kw)@4000 rpm?,SELECT stroke WHERE max. power EQL 109 ps(80kw)@4000 rpm
What stroke has a max power of 109 ps(80kw)@4000 rpm?,SELECT stroke WHERE max. power EQL 109 ps(80kw)@4000 rpm
The nissan primera p12 nissan almera n16 has what C.R.?,SELECT c.r. WHERE vehicle EQL nissan primera p12 nissan almera n16
The nissan primera p12 nissan almera n16 has what C.R.?,SELECT c.r. WHERE vehicle EQL nissan primera p12 nissan almera n16
What displacement has the code yd22ddt?,SELECT displacement WHERE code EQL yd22ddt
tell me the displacement code yd22ddt?,SELECT displacement WHERE code EQL yd22ddt
What construction has a CERCLIS ID of ard092916188?,SELECT construction completed WHERE cerclis id EQL ard092916188
What construction has a CERCLIS ID of ard092916188?,SELECT construction completed WHERE cerclis id EQL ard092916188
What CERCLIS ID is Deleted of 04/07/2008?,SELECT cerclis id WHERE deleted EQL 04/07/2008
list some cerclis ids that are deleted after 04072008?,SELECT cerclis id WHERE deleted EQL 04/07/2008
"What construction has a Listed 09/08/1983, and a Deleted of –, and a Name of mid-south wood products?",SELECT construction completed WHERE listed EQL 09/08/1983 AND deleted EQL – AND name EQL mid-south wood products
"What construction has a Listed 09/08/1983, and a Deleted of –, and a Name of mid-south wood products?",SELECT construction completed WHERE listed EQL 09/08/1983 AND deleted EQL – AND name EQL mid-south wood products
What is the name of the episode with a night rank of 9?,SELECT episode WHERE rank (night) EQL 9
What is the name of the episode with a night rank of 9?,SELECT episode WHERE rank (night) EQL 9
WHAT IS THE RELIGION WITH A SCHEDULED TRIBE OF 0.90%?,SELECT religion WHERE scheduled tribe EQL 0.90%
tell me the truth of a prescribed religion with 090 in it?,SELECT religion WHERE scheduled tribe EQL 0.90%
what is a faith with a plan of rs 090?,SELECT religion WHERE scheduled tribe EQL 0.90%
what is a religion with a target denomination of 090?,SELECT religion WHERE scheduled tribe EQL 0.90%
WHAT IS THE FORWARD CASTE WITH A SCHEDULED TRIBE OF 0.90%?,SELECT forward caste WHERE scheduled tribe EQL 0.90%
what is a front cost of 090?,SELECT forward caste WHERE scheduled tribe EQL 0.90%
what is a forward cape with a prescribed rate of 090?,SELECT forward caste WHERE scheduled tribe EQL 0.90%
WHAT IS THE FORWARD CASTE WITH A SCHEDULED CASTE OF 89.50%?,SELECT forward caste WHERE scheduled caste EQL 89.50%
what is a forward caste with a scheduled caste of 8950?,SELECT forward caste WHERE scheduled caste EQL 89.50%
"Where does the judge who serves Beacon Falls , Naugatuck , Middlebury , Prospect reside?","SELECT judges residence WHERE municipalities served EQL beacon falls , naugatuck , middlebury , prospect"
where does the judge who serves beacon falls naugatuck middlebury prospect live?,"SELECT judges residence WHERE municipalities served EQL beacon falls , naugatuck , middlebury , prospect"
Where does the judge whose court is in Groton reside?,SELECT judges residence WHERE location of court EQL groton
who is the judge of a groton courthouse?,SELECT judges residence WHERE location of court EQL groton
where does the judge reside in groton?,SELECT judges residence WHERE location of court EQL groton
where does the judge of the groton court reside?,SELECT judges residence WHERE location of court EQL groton
where does the judge of groton's court reside?,SELECT judges residence WHERE location of court EQL groton
where do the judges from groton reside?,SELECT judges residence WHERE location of court EQL groton
where does the judge who has been appointed in groton reside?,SELECT judges residence WHERE location of court EQL groton
where does the judge in groton reside?,SELECT judges residence WHERE location of court EQL groton
where does the judge whose court is in groton reside?,SELECT judges residence WHERE location of court EQL groton
what is [po 4 3− ]/[a] (%) where [h 2 po 4 − ]/[a] (%) is 94.5?,SELECT [po 4 3− ]/[a] (%) WHERE [h 2 po 4 − ]/[a] (%) EQL 94.5
Name the opponent for jul 31 and score of w 5-1,SELECT opponent WHERE date EQL jul 31 AND score EQL w 5-1
Name the opponent for jul 31 and score of w 5-1,SELECT opponent WHERE date EQL jul 31 AND score EQL w 5-1
Name the less for opponent of @cle and record of 67-29,SELECT loss WHERE opponent EQL @cle AND record EQL 67-29
Name the less for opponent of @cle and record of 67-29,SELECT loss WHERE opponent EQL @cle AND record EQL 67-29
Name the loss with record of 71-33,SELECT loss WHERE record EQL 71-33
Name the loss with record of 71-33,SELECT loss WHERE record EQL 71-33
What is the number of minutes when there are more than 4 goals and 3 assists?,SELECT minutes WHERE goals GT 4 AND assists EQL 3
do you think the number of minutes is the maximum number of goals and 3 assists?,SELECT minutes WHERE goals GT 4 AND assists EQL 3
what is a number of minutes when there are more than 4 goals and 3 assists?,SELECT minutes WHERE goals GT 4 AND assists EQL 3
Name the record for milwaukee,SELECT record WHERE team EQL milwaukee
what's the record for milwaukee?,SELECT record WHERE team EQL milwaukee
show me the record for milwaukee,SELECT record WHERE team EQL milwaukee
please find the record for milwaukee,SELECT record WHERE team EQL milwaukee
Name the location attendance for 10-14,SELECT location attendance WHERE record EQL 10-14
Name the location attendance for 10-14,SELECT location attendance WHERE record EQL 10-14
Name the record for december 8,SELECT record WHERE date EQL december 8
Name the record for december 8,SELECT record WHERE date EQL december 8
Who are all high points in game 14?,SELECT high points WHERE game EQL 14
who has the highest score of game 14?,SELECT high points WHERE game EQL 14
What is every value for location attendance on date of November 18?,SELECT location attendance WHERE date EQL november 18
tell me the value of location attendance in november?,SELECT location attendance WHERE date EQL november 18
What is every score when date is November 10?,SELECT score WHERE date EQL november 10
what would you say about the score on november 10?,SELECT score WHERE date EQL november 10
How did the game number 50 end?,SELECT score WHERE game EQL 50
what happened to game number 50? how did it end?,SELECT score WHERE game EQL 50
how did the game ending end?,SELECT score WHERE game EQL 50
what happens to the game number 50?,SELECT score WHERE game EQL 50
how did game number 50 end?,SELECT score WHERE game EQL 50
how did the game number 50 end?,SELECT score WHERE game EQL 50
Who did the most high assists during the game played on February 6?,SELECT high assists WHERE date EQL february 6
who made the most high assists during the game played on february 6?,SELECT high assists WHERE date EQL february 6
Who tied for the highest rebounds during the game against Orlando?,SELECT high rebounds WHERE team EQL orlando
who tied for most rebounds during the matchup against atlanta?,SELECT high rebounds WHERE team EQL orlando
which player tallied the highest rebounds in the game against orlando?,SELECT high rebounds WHERE team EQL orlando
who tied for the most rebounds during the game against orlando?,SELECT high rebounds WHERE team EQL orlando
"Which song has a place greater than 7, more than 13 points, and draw of 5?",SELECT song WHERE place GT 7 AND points GT 13 AND draw EQL 5
"Which song has a place greater than 7, more than 13 points, and draw of 5?",SELECT song WHERE place GT 7 AND points GT 13 AND draw EQL 5
"What is Wins, when Top-25 is less than 4, and when Top-5 is greater than 0?",SELECT wins WHERE top-25 LT 4 AND top-5 GT 0
how do you determine the wins when top-25 is less than 4 and top-5 is more than 0?,SELECT wins WHERE top-25 LT 4 AND top-5 GT 0
tell me the win rate when top-25 is less than 4 and top-5 greater than 0?,SELECT wins WHERE top-25 LT 4 AND top-5 GT 0
what is the wins equation when top-25 is less than 4 and top-5 is greater than 0?,SELECT wins WHERE top-25 LT 4 AND top-5 GT 0
what happens when top-25 is less than 4 and top-5 is greater than 0?,SELECT wins WHERE top-25 LT 4 AND top-5 GT 0
what is a win when top-25 is less than 4 and top-5 is greater than 0?,SELECT wins WHERE top-25 LT 4 AND top-5 GT 0
"Which Song has Points smaller than 53, and a Place larger than 8, and a Draw larger than 1?",SELECT song WHERE points LT 53 AND place GT 8 AND draw GT 1
"Which Song has Points smaller than 53, and a Place larger than 8, and a Draw larger than 1?",SELECT song WHERE points LT 53 AND place GT 8 AND draw GT 1
what is the title of the episode where b b is 20/16,SELECT title (french) / (english) WHERE b b = corresponds to tf1s broadcast schedule. EQL 20/16
what is the title of the episode where b b is 20/16,SELECT title (french) / (english) WHERE b b = corresponds to tf1s broadcast schedule. EQL 20/16
What is the result of the game of heinz field with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
what is the result of a heinz field game with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
what is the result of the heinz field game with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
what was the result of the match in heinz field with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
tell me the result of the game at heinz field with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
what's the result of the game of heinz field with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
what is the result of the game of heinz field with a record of 2-5?,SELECT result WHERE game site EQL heinz field AND record EQL 2-5
What opponent has a record of 6-9?,SELECT opponent WHERE record EQL 6-9
which opponent holds a record 6-9?,SELECT opponent WHERE record EQL 6-9
which opponent has a record of 6-9?,SELECT opponent WHERE record EQL 6-9
what opponent has a record of 6-9?,SELECT opponent WHERE record EQL 6-9
What's the amount of winnings (in $) in the year with 2 wins?,SELECT winnings WHERE wins EQL 2
how much does a year worth of wins have?,SELECT winnings WHERE wins EQL 2
In what year did the #14 FitzBradshaw Racing compete?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
what year did fitzbradshaw compete in?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
what year did 14 fitzbradshaw races compete in?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
in which year did the fitzbradshaw racing teams compete?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
in what year did the fitzbradshaw racing series compete?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
in which year did fitzbradshaw racing compete?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
in what year did fitzbradshaw racing compete?,SELECT year WHERE team(s) EQL #14 fitzbradshaw racing
What is every value for Italian when the part is English?,SELECT italian WHERE english EQL part
what value does italian have when the part is english?,SELECT italian WHERE english EQL part
What is every entry for Proto-Italo-Western 1 when door is English?,SELECT proto-italo-western 1 WHERE english EQL door
What is every entry for Proto-Italo-Western 1 when door is English?,SELECT proto-italo-western 1 WHERE english EQL door
What is the score for interview when the preliminaries score is 8.425?,SELECT interview WHERE preliminaries EQL 8.425
What is the interview score when the preliminaries score is 8.400?,SELECT interview WHERE preliminaries EQL 8.400
how much is an interview score?,SELECT interview WHERE preliminaries EQL 8.400
what are interview scores when the prelim score is 8400?,SELECT interview WHERE preliminaries EQL 8.400
What is the score for swimsuit when the average is 8.791?,SELECT swimsuit WHERE average EQL 8.791
what is a swimsuit score?,SELECT swimsuit WHERE average EQL 8.791
what's the score for swimming suits?,SELECT swimsuit WHERE average EQL 8.791
what is the score for the swimsuit when the average is 8791?,SELECT swimsuit WHERE average EQL 8.791
what is the class of w269ax,SELECT class WHERE call sign EQL w269ax
what is class w269ax?,SELECT class WHERE call sign EQL w269ax
"What is the number of laps with a Constructor of renault, and a driver of jacques villeneuve?",SELECT laps WHERE constructor EQL renault AND driver EQL jacques villeneuve
how many laps a renault constructor drives?,SELECT laps WHERE constructor EQL renault AND driver EQL jacques villeneuve
how many laps does a constructor of renault and a driver of jacques villeneuve have?,SELECT laps WHERE constructor EQL renault AND driver EQL jacques villeneuve
What is the time/retired for grid 3?,SELECT time/retired WHERE grid EQL 3
what time do you think grid 3 is?,SELECT time/retired WHERE grid EQL 3
What is the time/retired for grid 8?,SELECT time/retired WHERE grid EQL 8
how long has grid 8 been retired?,SELECT time/retired WHERE grid EQL 8
how do you calculate the time in grid 8?,SELECT time/retired WHERE grid EQL 8
"What is the date for the ship Afrika, with nationality Great Britain?",SELECT date WHERE nationality EQL great britain AND ship EQL afrika
what is the date of the afrika ship?,SELECT date WHERE nationality EQL great britain AND ship EQL afrika
What was the nationality of the ship named Toward?,SELECT nationality WHERE ship EQL toward
What was the nationality of the ship named Toward?,SELECT nationality WHERE ship EQL toward
What are all the languages for tsotsi?,SELECT language(s) WHERE film title EQL tsotsi
which language is used for tsotsi?,SELECT language(s) WHERE film title EQL tsotsi
can you list the languages in tsotsi?,SELECT language(s) WHERE film title EQL tsotsi
can you list the languages for tsotsi?,SELECT language(s) WHERE film title EQL tsotsi
What year featured the film tsotsi?,SELECT year (ceremony) WHERE film title EQL tsotsi
what year has the tsotsi been made?,SELECT year (ceremony) WHERE film title EQL tsotsi
what year was the film tsotsi released?,SELECT year (ceremony) WHERE film title EQL tsotsi
what year was the film tsotsi?,SELECT year (ceremony) WHERE film title EQL tsotsi
"What was the result for the film life, above all?","SELECT result WHERE film title EQL life, above all"
tell me the result of movie life?,"SELECT result WHERE film title EQL life, above all"
what is the result of film life?,"SELECT result WHERE film title EQL life, above all"
which was the result of film life?,"SELECT result WHERE film title EQL life, above all"
what was the result of movie life for example?,"SELECT result WHERE film title EQL life, above all"
what was the result of the movie life?,"SELECT result WHERE film title EQL life, above all"
what was the result for the film life above all?,"SELECT result WHERE film title EQL life, above all"
Which PCI-Express has a DDR 266/333/400 Registered/ECC memory and Enhanced AC'97 2.3 sound?,SELECT pci-express WHERE memory EQL ddr 266/333/400 registered/ecc AND sound EQL enhanced ac'97 2.3
Which FSB/HT frequency (MHz) has a SATA larger than 6 and DDR 266/333/400 Registered/ECC memory?,SELECT fsb/ht frequency (mhz) WHERE sata GT 6 AND memory EQL ddr 266/333/400 registered/ecc
Which FSB/HT frequency (MHz) has a SATA larger than 6 and DDR 266/333/400 Registered/ECC memory?,SELECT fsb/ht frequency (mhz) WHERE sata GT 6 AND memory EQL ddr 266/333/400 registered/ecc
"What is Time, when Laps is 22, and when Grid is 15?",SELECT time WHERE laps EQL 22 AND grid EQL 15
tell me the difference between time and grid?,SELECT time WHERE laps EQL 22 AND grid EQL 15
tell me the difference between laps and grids?,SELECT time WHERE laps EQL 22 AND grid EQL 15
What Winning constructor has a Name of grand prix de la marne?,SELECT winning constructor WHERE name EQL grand prix de la marne
who won the grand prix of la manche with a name?,SELECT winning constructor WHERE name EQL grand prix de la marne
who is winning a grand prix in the marne?,SELECT winning constructor WHERE name EQL grand prix de la marne
can you guess which winner of the grand prix de la marne is?,SELECT winning constructor WHERE name EQL grand prix de la marne
which winning constructor won the grand prix of la marne?,SELECT winning constructor WHERE name EQL grand prix de la marne
What kind of the Winning driver has a Circuit of saint-raphaël?,SELECT winning driver WHERE circuit EQL saint-raphaël
which type of winner has a saint-raphal circuit?,SELECT winning driver WHERE circuit EQL saint-raphaël
which driver has the circuit of the saint-raphal?,SELECT winning driver WHERE circuit EQL saint-raphaël
what kind of a winning driver has a saint-raphal circuit?,SELECT winning driver WHERE circuit EQL saint-raphaël
what kind of driver wins the circuit of saint-raphal?,SELECT winning driver WHERE circuit EQL saint-raphaël
what kind of drivers have a circuit of saint-raphal?,SELECT winning driver WHERE circuit EQL saint-raphaël
what kind of winning driver has a circuit of saint-raphal?,SELECT winning driver WHERE circuit EQL saint-raphaël
"Name the Report with Winning constructor of maserati, and a Name of monza grand prix?",SELECT report WHERE winning constructor EQL maserati AND name EQL monza grand prix
"Name the Report with Winning constructor of maserati, and a Name of monza grand prix?",SELECT report WHERE winning constructor EQL maserati AND name EQL monza grand prix
"what is the time when laps is less than 21, manufacturer is aprilia, grid is less than 17 and the rider is thomas luthi?",SELECT time WHERE laps LT 21 AND manufacturer EQL aprilia AND grid LT 17 AND rider EQL thomas luthi
what is the time when laps is less than 21?,SELECT time WHERE laps LT 21 AND manufacturer EQL aprilia AND grid LT 17 AND rider EQL thomas luthi
what is the time when the laps is less than 21 and the grid is more than 17?,SELECT time WHERE laps LT 21 AND grid GT 17
what time does it take for laps less than 21?,SELECT time WHERE laps LT 21 AND grid GT 17
what time is it when the laps are shorter than 21 and the grid is longer than 17?,SELECT time WHERE laps LT 21 AND grid GT 17
what time is it when the laps are less than 21 and the grid is more than 17?,SELECT time WHERE laps LT 21 AND grid GT 17
what's the time when the laps are less than 21 and the grid is more than 17?,SELECT time WHERE laps LT 21 AND grid GT 17
what is the time when the laps are less than 21 and the grid is more than 17?,SELECT time WHERE laps LT 21 AND grid GT 17
What is the recorder has a Track more than 11 with a time 3:06,SELECT recorded WHERE track GT 11 AND time EQL 3:06
Tell me the track that has the catalogue of apbo 0280,SELECT track WHERE catalogue EQL apbo 0280
Tell me the track that has the catalogue of apbo 0280,SELECT track WHERE catalogue EQL apbo 0280
Tell me the time for 6/6/77 release date and song title of way down,SELECT time WHERE release date EQL 6/6/77 AND song title EQL way down
Tell me the time for 6/6/77 release date and song title of way down,SELECT time WHERE release date EQL 6/6/77 AND song title EQL way down
What is the catalogue number for the song that is 3:17 and was released 9/21/71?,SELECT catalogue WHERE release date EQL 9/21/71 AND time EQL 3:17
what is the catalogue number of the song that was released on september 21 1971?,SELECT catalogue WHERE release date EQL 9/21/71 AND time EQL 3:17
What is Heart of Rome's catalogue number?,SELECT catalogue WHERE song title EQL heart of rome
show me the catalogue number for heart of rome?,SELECT catalogue WHERE song title EQL heart of rome
tell me the catalogue number for heart of rome?,SELECT catalogue WHERE song title EQL heart of rome
tell me the catalog number for heart of rome?,SELECT catalogue WHERE song title EQL heart of rome
tell me the heart of rome catalog number?,SELECT catalogue WHERE song title EQL heart of rome
tell me the heart of rome catalogue number?,SELECT catalogue WHERE song title EQL heart of rome
What is the High rebounds with a Game that is 62?,SELECT high rebounds WHERE game EQL 62
What is the High rebounds with a Game that is 62?,SELECT high rebounds WHERE game EQL 62
What is the Team with a Score that is l 79–92 (ot)?,SELECT team WHERE score EQL l 79–92 (ot)
What is the Team with a Score that is l 79–92 (ot)?,SELECT team WHERE score EQL l 79–92 (ot)
What is the High rebounds with a Team that is charlotte?,SELECT high rebounds WHERE team EQL charlotte
What is the High rebounds with a Team that is charlotte?,SELECT high rebounds WHERE team EQL charlotte
Which Attendance has an Opponent of carolina panthers?,SELECT attendance WHERE opponent EQL carolina panthers
Which Attendance has an Opponent of carolina panthers?,SELECT attendance WHERE opponent EQL carolina panthers
"Which Date has a Week smaller than 11, and a Attendance of 54,094?","SELECT date WHERE week LT 11 AND attendance EQL 54,094"
"Which Date has a Week smaller than 11, and a Attendance of 54,094?","SELECT date WHERE week LT 11 AND attendance EQL 54,094"
"What is the Team with a game of more than 56, and the score is l 85–90 (ot)?",SELECT team WHERE game GT 56 AND score EQL l 85–90 (ot)
"What is the Team with a game of more than 56, and the score is l 85–90 (ot)?",SELECT team WHERE game GT 56 AND score EQL l 85–90 (ot)
What is the Record when the high rebounds was Antonio Davis (9)?,SELECT record WHERE high rebounds EQL antonio davis (9)
what is an antonio davis high rebound record?,SELECT record WHERE high rebounds EQL antonio davis (9)
what was the best record when antonio davis scored 9?,SELECT record WHERE high rebounds EQL antonio davis (9)
"What is High Assists, when High Points is Keon Clark (19)?",SELECT high assists WHERE high points EQL keon clark (19)
"What is High Assists, when High Points is Keon Clark (19)?",SELECT high assists WHERE high points EQL keon clark (19)
"What is Location Attendance, when High Assists is Alvin Williams (9)?",SELECT location attendance WHERE high assists EQL alvin williams (9)
"What is Location Attendance, when High Assists is Alvin Williams (9)?",SELECT location attendance WHERE high assists EQL alvin williams (9)
"What is High Points, when Location Attendance is Staples Center 18,964?","SELECT high points WHERE location attendance EQL staples center 18,964"
tell me the value of high points at a location like staples center 18964?,"SELECT high points WHERE location attendance EQL staples center 18,964"
What is the Score of the game with a Record of 12–12?,SELECT score WHERE record EQL 12–12
what is a score of 1212?,SELECT score WHERE record EQL 12–12
tell me the score of a game with a record of 1212?,SELECT score WHERE record EQL 12–12
what is the score of a game with a record of 1212?,SELECT score WHERE record EQL 12–12
"What is the Score for the Game less than 21, and of antonio davis (12)had the High rebounds?",SELECT score WHERE game LT 21 AND high rebounds EQL antonio davis (12)
"What is the Score for the Game less than 21, and of antonio davis (12)had the High rebounds?",SELECT score WHERE game LT 21 AND high rebounds EQL antonio davis (12)
"who was the opponent when the attendance was larger than 54,766?","SELECT opponent WHERE attendance GT 54,766"
who was the opponent when the attendance was large?,"SELECT opponent WHERE attendance GT 54,766"
What was the attendance when the series was at 0-1?,SELECT attendance WHERE series EQL 0-1
who attended the series when it was 0-1?,SELECT attendance WHERE series EQL 0-1
what was the attendance of the series when it was 0-1?,SELECT attendance WHERE series EQL 0-1
Who was the opponent when the series was at 1-3?,SELECT opponent WHERE series EQL 1-3
who was the opponent in the 1-3 series?,SELECT opponent WHERE series EQL 1-3
who was the opponent when the series was numbered 1 - 3?,SELECT opponent WHERE series EQL 1-3
who was the opponent when the series was 1-3?,SELECT opponent WHERE series EQL 1-3
What opponents have a record of 90-70?,SELECT opponent WHERE record EQL 90-70
What opponents have a record of 90-70?,SELECT opponent WHERE record EQL 90-70
"What game had more than 50,324 in attendance?","SELECT date WHERE attendance GT 50,324"
"What game had more than 50,324 in attendance?","SELECT date WHERE attendance GT 50,324"
"For the Loss of Plesac (1-5), what is the Record?",SELECT record WHERE loss EQL plesac (1-5)
tell me the records of the loss of plesac 1-5?,SELECT record WHERE loss EQL plesac (1-5)
what are the records of plesac 1-5?,SELECT record WHERE loss EQL plesac (1-5)
"For the Loss of Plesac (1-5), what is the Record?",SELECT record WHERE loss EQL plesac (1-5)
what are the records of plesac's loss?,SELECT record WHERE loss EQL plesac (1-5)
What was the score of the game when the Blue Jays were 55-39?,SELECT score WHERE record EQL 55-39
when the blue jays were 55-39 what were the score?,SELECT score WHERE record EQL 55-39
when were the blue jays 55-39?,SELECT score WHERE record EQL 55-39
tell me the score of the game when the blue jays were 55-39?,SELECT score WHERE record EQL 55-39
what was the score of the game when the jays were 55-39?,SELECT score WHERE record EQL 55-39
what was the score of the game when the blue jays were 55-39?,SELECT score WHERE record EQL 55-39
On what date was the opponent the White Sox and the record 18-13?,SELECT date WHERE opponent EQL white sox AND record EQL 18-13
On what date was the opponent the White Sox and the record 18-13?,SELECT date WHERE opponent EQL white sox AND record EQL 18-13
"What was the Loss when the opponent was the Rangers and the attendance was greater than 43,211?","SELECT loss WHERE opponent EQL rangers AND attendance GT 43,211"
what would the loss be when the opponent was the rangers and the attendance was greater than 43211?,"SELECT loss WHERE opponent EQL rangers AND attendance GT 43,211"
Which opponent has a loss of wells (1-3)?,SELECT opponent WHERE loss EQL wells (1-3)
which opponent has lost wells 1-3?,SELECT opponent WHERE loss EQL wells (1-3)
"Which opponent has an attendance greater than 29,904 and 11-8 as the record?","SELECT opponent WHERE attendance GT 29,904 AND record EQL 11-8"
what opponent holds record numbers of 29904 and 11-8?,"SELECT opponent WHERE attendance GT 29,904 AND record EQL 11-8"
which opponent holds an attendance record of 29904 and 11-8?,"SELECT opponent WHERE attendance GT 29,904 AND record EQL 11-8"
which opponent has an attendance more than 29904 and an 11-8 record?,"SELECT opponent WHERE attendance GT 29,904 AND record EQL 11-8"
"Which loss has an attendance greater than 49,688 and 11-8 as the record?","SELECT loss WHERE attendance GT 49,688 AND record EQL 11-8"
"Which loss has an attendance greater than 49,688 and 11-8 as the record?","SELECT loss WHERE attendance GT 49,688 AND record EQL 11-8"
"If a team has a grid of over 8 with less than 4 points, what's the team name?",SELECT team WHERE grid GT 8 AND points LT 4
if a team has a grid of over 8 with less than 4 points can you give me the name of the team?,SELECT team WHERE grid GT 8 AND points LT 4
"When Patrick Carpentier is driving and has less than 19 points with 90 laps, what team is racing?",SELECT team WHERE laps EQL 90 AND points LT 19 AND driver EQL patrick carpentier
what team is racing for patrick carpentier in a 90-lap race?,SELECT team WHERE laps EQL 90 AND points LT 19 AND driver EQL patrick carpentier
what team is racing with patrick carpentier in a day in which he has just 19 points and 90 laps to go?,SELECT team WHERE laps EQL 90 AND points LT 19 AND driver EQL patrick carpentier
what team has patrick carpentier driving in when he has less than 19 points with 90 laps?,SELECT team WHERE laps EQL 90 AND points LT 19 AND driver EQL patrick carpentier
What is Ryan Hunter-Reay of the Herdez Competition's Qual 2 time?,SELECT qual 2 WHERE team EQL herdez competition AND name EQL ryan hunter-reay
What is Ryan Hunter-Reay of the Herdez Competition's Qual 2 time?,SELECT qual 2 WHERE team EQL herdez competition AND name EQL ryan hunter-reay
What is Justin Wilson's Team?,SELECT team WHERE name EQL justin wilson
what does justin wilson's team do?,SELECT team WHERE name EQL justin wilson
who is justin wilson's team?,SELECT team WHERE name EQL justin wilson
what is justin wilson's team?,SELECT team WHERE name EQL justin wilson
What is the Best of the racer with a Qual 2 of 1:00.588?,SELECT best WHERE qual 2 EQL 1:00.588
What was the hometown/high school of 170 pound player tyler wilson?,SELECT hometown/highschool WHERE weight EQL 170 AND name EQL tyler wilson
which school was the hometown of 170 pound player tyrell wilson?,SELECT hometown/highschool WHERE weight EQL 170 AND name EQL tyler wilson
how was the hometown of 170 pound player tyler wilson?,SELECT hometown/highschool WHERE weight EQL 170 AND name EQL tyler wilson
what was the hometown of 170 pound player tyler wilson?,SELECT hometown/highschool WHERE weight EQL 170 AND name EQL tyler wilson
What position did kyle mckenzie play?,SELECT position WHERE name EQL kyle mckenzie
